职位,公司名称,薪资,城市,区域,经验要求,学历要求,领域,性质,规模,职位详情页,公司详情页
生产主管,株洲格新电气科技,6-8千,株洲,未知,2年,大专,电子技术/半导体/集成电路,民营,少于50人,https://jobs.51job.com/zhuzhou/152132796.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coAmEFYVQyVmgDYgNiUzM.html
房产经纪人8K-10K/三镇就近分配,武汉鼎升房地产经纪,0.8-1万,武汉,东西湖区,无需经验,大专,房地产,民营,10000人以上,https://jobs.51job.com/wuhan-dxhq/130876835.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coCGtUM1U_BzAObQJgXTs.html
招聘顾问(J13529),美宜佳控股,1.5-2.5万·13薪,东莞,未知,5-7年,本科,批发/零售,民营,1000-5000人,https://jobs.51job.com/dongguan/152323417.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coCW1cOlQ0ADtWMQBmUjQ.html
大客户销售(B端),“前程无忧”51job.com（上海）,6千-1.2万,上海,浦东新区,1年,本科,互联网/电子商务,外资（非欧美）,1000-5000人,https://51rz.51job.com/job.html?jobid=152280109,https://51rz.51job.com/job.html?jobid=71752221&coid=1249
业务助理 （广告AE方向）,上海魔珏文化传播,7千-1万,上海,松江区,2年,大专,广告,民营,150-500人,https://jobs.51job.com/shanghai-sjq/151863408.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coCWlcO149UmpSN1MzBmo.html
外贸业务助理,苏州拓恒建筑科技,5-8千,苏州,吴中区,1年,大专,贸易/进出口,民营,少于50人,https://jobs.51job.com/suzhou-wzq/127280277.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coA2ZdP1U_DjVVMFY0UzU.html
外贸业务经理,上海迅凯新材料科技,1.5-2.5万,上海,闵行区,3-4年,本科,石油/化工/矿产/地质,民营,50-150人,https://jobs.51job.com/shanghai-mhq/152322527.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coAGNXNgRjVGlWN1EwVTg.html
电话客服（双休/近地铁）,迎企来财税咨询（上海）,5.5千-1.1万,上海,嘉定区,1年,,专业服务(咨询、人力资源、财会),民营,少于50人,https://jobs.51job.com/shanghai-jdq/152164969.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coUjMBYFcwAjwBZAFqXTk.html
跨境电商外贸专员,广州市依俐芭莎实业,6.5-8千,广州,番禺区,3-4年,,服装/纺织/皮革,合资,50-150人,https://jobs.51job.com/guangzhou-pyq/152323314.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coA2dUNF81BT4AZwBmXT4.html
OTC销售代表,海南东方药业,3-4.5千,海口,未知,1年,中技/中专,制药/生物工程,民营,50-150人,https://jobs.51job.com/haikou/100954760.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coBWdRPF41VGtVNAZgAmA.html
装配车间普工,宁波安德机械,6-7千,宁波,镇海区,1年,初中及以下,机械/设备/重工,民营,150-500人,https://jobs.51job.com/ningbo-zhq/152322297.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coUjJSMAdkU2UGYgBkBWA.html
培训/咨询客户经理,“前程无忧”51job.com（南京）,15-20万/年,南京,建邺区,2年,本科,互联网/电子商务,外资（欧美）,150-500人,https://51rz.51job.com/job.html?jobid=145076693,http://51rz.51job.com/job.html?jobid=97543335&coid=160646
电子研发工程师,佛山市迪赛纳科技,1-1.5万,佛山,三水区,2年,大专,家具/家电/玩具/礼品,民营,1000-5000人,https://jobs.51job.com/foshan-ssq/151922030.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coUjZSMwVuAz5TNgZlUDE.html
前台文员,南京水滴智能环保装备研究院,5-6千,昆山,未知,无需经验,本科,环保,民营,50-150人,https://jobs.51job.com/kunshan/152323173.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coCWhRM1YxUmpSMVQ2XD4.html
客户代表(黑龙江哈尔滨),深圳好博窗控技术,5-8千,沈阳,浑南区,2年,大专,建筑/建材/工程,民营,1000-5000人,https://jobs.51job.com/shenyang-hnq/152323158.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coVjNdOFU2BDtSMQNoAmM.html
采购专员,广州白云国际机场建设发展,12-15万/年,广州,白云区,2年,大专,建筑/建材/工程,国企,50-150人,https://jobs.51job.com/guangzhou-byq/152323154.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coB2dXMlQxUmUGagBiAWU.html
助理电子工程师,东莞市乐和智能科技,6-8千,东莞,虎门镇,1年,高中,机械/设备/重工,民营,50-150人,https://jobs.51job.com/dongguan-hm/112112216.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coUzZXNl88UmUEZwNgAW0.html
项目设计工程师,上海正帆科技,1-1.5万·15薪,大连,未知,无需经验,大专,电子技术/半导体/集成电路,已上市,1000-5000人,https://jobs.51job.com/dalian/152323063.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coVDRRMVI2DzYFY1Mx.html
